Olay numarası,Lokasyon,Olay Tarihi,Olay Saati,Olay Tipi,Olay Grubu,Olay Alt Grubu,Saha,Olayın Kısa Açıklaması,OSAR Aşaması,Sorumlu Kişi,Seviye,Araştırmanın Tamamlanma Durumu,Olay Araştırma Kalan Gün sayısı,Döf Numarası,PE Seviye
1000908,İZMİR RAFİNERİSİ,20.06.2016,10:45:00,Kazaya ramak kala,İSG,Yüksekte çalışırken KKD; İTA standardının uygulanması ihlalleri; Yüksekte emniyetsiz çalışma.,2500Y yeni su tasfiye ünitesi montaj sahası,2500Y yeni su tasfiye ünitesi,Olay tamamlandı,,,Geçersiz,0,7679,
1000917,3000 TANK SAHASI,21.06.2016,10:00:00,Güvenlik izleme,İSG,Elektrik ile emniyetsiz çalışma.,TK-3551,Emniyetsiz çalışma,Olay tamamlandı,,,Geçersiz,0,7641,
1000920,YARDIMCI TESİSLER,18.06.2016,12:40:00,Olay,ISG,ISG-TTD (Tıbbi tedavi durumu),E yolu kenarı  Asfalt tanker dolum dahası yanı,Küçük Müdahale,Olay tamamlandı,,,Geçersiz,0,,
1000921,İZMİR RAFİNERİSİ,20.06.2016,15:00:00,Olay,ISG,ISG-Küçük müdahale,Petrol Hareketleri Ünitesi TK-3032,TK-3032 de arı ve böcek sokması,Olay tamamlandı,,,Geçersiz,0,,
1000929,PETROL HAREKETLERİ POMPA İSTASYONU,16.06.2016,01:30:00,Olay,"IG, PE",İG-Tekrarlayan ekipman arızaları; PE-Kaçak/döküntü,"P-2200 sahasındaki P-2203 önü pipewayde, benzin transfer hattı.",P-2203 önü benzin transfer hattındaki kelepçeden kaçak,Olay tamamlandı,,ZIM_LEVEL_02,Zamanında tamamlandı,28,8225,Seviye 2
1000930,2500 E/C/Y SOĞUTMA KULELERİ,22.06.2016,10:00:00,Kazaya ramak kala,İSG,Yüksekte çalışırken KKD; Yüksekte emniyetsiz çalışma.,2500 Yeni Su Tasfiyesi,2500 Yeni Su Tasfiye,Olay tamamlandı,,,Geçersiz,0,,
1000932,PROJE MÜDÜRLÜĞÜ,21.06.2016,10:00:00,Kazaya ramak kala,İSG,Yüksekte emniyetsiz çalışma.; Prosedürler/standartlar bilinmiyor,R-301 Çelik Konstrüksiyon montaj işi,Yüksekte Uygunsuz çalışma,Olay tamamlandı,,,Geçersiz,0,,
1000931,İZMİR RAFİNERİSİ,22.06.2016,10:00:00,Kazaya ramak kala,İSG,Yüksekte çalışırken KKD,2500 Yeni Su Tasfiye,2500 Yeni Su Tasfiyesi,Olay tamamlandı,,,Geçersiz,0,,
1000933,İZMİR RAFİNERİSİ,22.06.2016,10:00:00,Güvenlik izleme,İSG,Çalışanın işle ilgili işbaşı eğitimi yok; Trafik kuralı ihlali,Kara Dolum Önü yol üzeri,Araç sollama,Olay tamamlandı,,,Geçersiz,0,,
1000934,İZMİR RAFİNERİSİ,22.06.2016,10:00:00,Güvenlik izleme,İSG,Yüksekte duran emniyetsiz malzemeler,7000 Reaktörlerin yan tarafı,7000 Reaktörlerin yan tarafı,Olay tamamlandı,,,Geçersiz,0,7661,
1000936,1400 MEK.TOL.İLE YAĞI WAKSTAN ARINDIRMA,22.06.2016,09:20:00,Güvenlik izleme,İSG,Göz ve yüz,"TK-1403,TK-1404,TK-1406 bulunduğu alan",KKD kullanımında eksiklik,Olay tamamlandı,,,Geçersiz,0,7642,
1000938,EMNİYET ÇEVRE KALİTE MÜDÜRLÜĞÜ,28.05.2016,13:25:00,Kazaya ramak kala,İSG,Trafik kuralı ihlali,A yolu ile 4 nolu yol köşesi,A yolu ile 4 nolu yol köşesi,Olay tamamlandı,,,Geçersiz,0,,
1000941,PROJE MÜDÜRLÜĞÜ,25.05.2016,12:44:00,Kazaya ramak kala,İSG,Tehlikeli depolanmış malz. ve ekipmanlar; Yüksekte duran emniyetsiz malzemeler; Yüksekte emniyetsiz çalışma.; İTA standardının uygulanması ihlalleri,,2500 yeni su tasfiye sahası kablo tava montaj işleri,Olay tamamlandı,,,Geçersiz,0,,
1000940,PROJE MÜDÜRLÜĞÜ,23.05.2016,12:44:00,Kazaya ramak kala,İSG,İTA standardının uygulanması ihlalleri; Yüksekte emniyetsiz çalışma.; Prosedürler/standartlar bilinmiyor; İzinsiz ekipman kullanımı.,2500Y ünitesi yeni trafo binası arkası boru hat montaj çalışması,2500Y yeni su tasfiye ünitesi,Olay tamamlandı,,,Geçersiz,0,,
1000943,BAK.MÜD./İNŞAAT ATÖLYESİ,22.06.2016,13:00:00,Güvenlik izleme,İSG,Yasal gerekliliğe uygunsuzluk; Yüksekte çalışırken KKD,Rafineri Geneli,Rafineri Geneli,Olay tamamlandı,,,Geçersiz,0,7684,
1000942,PROJE MÜDÜRLÜĞÜ,22.06.2016,09:45:00,Güvenlik izleme,İSG,Göz ve yüz,2500Y yeni su tasfiye ünitesi,2500 Y UF sahası,Olay tamamlandı,,,Geçersiz,0,,
1000944,PROJE MÜDÜRLÜĞÜ,22.06.2016,09:40:00,Güvenlik izleme,İSG,Göz ve yüz; İTA standardının uygulanması ihlalleri,2500Y UF sahası,2500 Y,Geçersiz,,,Geçersiz,0,,
1000947,100 HAMPETROL ATMOSFERİK DESTİLASYON ÜN.,22.06.2016,13:30:00,Güvenlik izleme,İSG,Sıcak yüzeyler.; Yangın/patlama tehlikesi; Elektrik ile emniyetsiz çalışma.,Ü-100 H-104 Karşısı,iş başında bulunmama,Olay tamamlandı,,,Geçersiz,0,7707,
1000945,BAKIM MÜDÜRLÜĞÜ,22.06.2016,09:10:00,Güvenlik izleme,İSG,"Tertip, düzen",904/2 F.oıl tankı,904 f.oil tank bakım çalışması,Olay tamamlandı,,,Geçersiz,0,7708,
1000964,1600 ANA ÜRÜN TANKLARI VE BAĞLANTILARI,23.06.2016,09:40:00,Güvenlik izleme,İSG,Göz ve yüz,TK-1616/B,KKD kullanımında eksiklik,Olay tamamlandı,,,Geçersiz,0,7650,
1000969,2510 SOĞUTMA KULESİ,26.05.2016,14:00:00,Olay,ISG,ISG-TTD (Tıbbi tedavi durumu),3602 hamsu tankı arkası,el aleti ile yaralanma,Olay tamamlandı,,,Geçersiz,0,,
1000971,"2055 EDM 34,5 KV ELEKTRİK DAĞITIM MERKEZ",18.06.2016,17:20:00,Olay,ISG,ISG-TTD (Tıbbi tedavi durumu),Bakım Müdürlüğü Elektrik Dağıtım Merkezi,Açık olan kablo kanal kapağına el sıkışması,Olay tamamlandı,,,Geçersiz,0,,
1000975,7000 HAM PETROL ÜNİTESİ,22.06.2016,14:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.); Ekipman durumu uygun değil.",400 Unt ' e giden Gaz hatları,İskele çalışma platformundaki boşluğun kapatılmaması,Olay tamamlandı,,,Geçersiz,0,7643,
1000978,RAFİNERİ GÜVENLİK MÜDÜRLÜĞÜ,23.06.2016,13:30:00,Olay,ISG,ISG-TTD (Tıbbi tedavi durumu),Kule 2 bölgesi,Kule 2 bölgesinde arı sokması,Olay tamamlandı,,,Geçersiz,0,,
1000987,AMBARLAR,21.06.2016,15:00:00,Olay,ISG,ISG-Küçük müdahale,Melbusat Deposu önü,Küçük Müdahale,Olay tamamlandı,,,Geçersiz,0,,
1000989,PROJE MÜDÜRLÜĞÜ,24.06.2016,10:00:00,Güvenlik izleme,İSG,"Tertip, düzen; Prosedür/standart mevcut değil/yetersiz",4.Müt. Yemekhane,4. Müt. Yemekhane,Olay tamamlandı,,,Geçersiz,0,7645,
1000993,PROJE MÜDÜRLÜĞÜ,24.06.2016,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor; Elektrik ile emniyetsiz çalışma.,Ambar 2,Emniyetsiz durum ve talimatlara uymama,Olay tamamlandı,,,Geçersiz,0,7709,
1000074,3000 TANK SAHASI,14.04.2016,19:20:00,Olay,IG,İG-Ürün kalitesi sorunu,Petrol Hareketleri Ünitesi,3071 tankındaki bulanıklık,Olay tamamlandı,,,Geçersiz,0,,
1000075,LABORATUVAR,30.03.2016,14:00:00,Olay,IG,İG-Ürün kalitesi sorunu,laboratuvar,3075 tankından ANT için sadece dip numunesinin saklanması,Olay tamamlandı,,,Zamanında tamamlandı,30,8708,
1000076,İZMİR RAFİNERİSİ,20.04.2016,00:00:00,Kazaya ramak kala,İSG,Ekipman durumu uygun değil.,Yardımcı tesisler TK-903 Fuel Oil Tankı,İGM Yard Ofis ortamındaki koku,Olay tamamlandı,,,Geçersiz,0,,
1000077,3000 TANK SAHASI,20.04.2016,23:00:00,Olay,IG,İG-Ürün kalitesi sorunu,petrol hareketleri katkı enjeksiyon alanı,jet a-1 katkılama sisteminde enjeksiyon sisteminin olmaması,Olay tamamlandı,,,Geçersiz,0,,
1000081,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,22.04.2016,00:00:00,Olay,IG,İG-PD süre uzaması/maliyet aşımı,100 ve 7000 ünitesi atmosferik distilasyon kolonu tepe sistemi,Ham petrol tepe sistemi yıkama suyu,Olay tamamlandı,,,Zamanında tamamlandı,0,8705,
1000085,1900 ASVALT HAZIRLAMA ÜNİTESİ,25.04.2016,08:45:00,Olay,ISG,ISG-Kayıp zamansız kaza,1900 Ünitesi 5 Numaralı Asfalt Dolum Cenderesi,1900 Ünitesi Asfalt Dolum Cenderesinde Yaşanan İş Kazası,Olay tamamlandı,,,Zamanında tamamlandı,28,,
1000087,5340 ESKİ HAM PETROL İSKELESİ,18.01.2016,03:00:00,Olay,ISG,ISG-Kayıp zamanlı kaza,Eski iskele sayaç sahası,(2016-0097) Vana Operasyonu Sırasında Yaşanan İş Kazası,Olay tamamlandı,,,Zamanında tamamlandı,30,,
1000088,ATIK SU SİSTEM1,9.02.2016,06:15:00,Olay,ISG,ISG-Kayıp zamanlı kaza,"2594 pompa istasyonu, merdiveninin bittiği noktadaki engebeli toprak zemin",(2016-0238) ASA Ünitesi Personeli Ayak Burkması İş Kazası,Olay tamamlandı,,,Zamanında tamamlandı,30,,
1000089,5340 ESKİ HAM PETROL İSKELESİ,26.02.2016,01:30:00,Olay,ISG,ISG-Kayıp zamanlı kaza,"Eski iskele 4 no altı, Boru Hatları, Heavy Neutral Hattı",(2016-0357) Dizde Burkulma Sonucu Yaşanan İş Kazası,Olay tamamlandı,,,Zamanında tamamlandı,30,,
1000090,1100 VAKUM DESTİLASYON ÜNİTESİ,14.01.2016,14:30:00,Olay,ISG,ISG-Kayıp zamansız kaza,Ünite Sahası,(2016-0103) İskele Firması Çalışanı El Sıkışması,Olay tamamlandı,,,Zamanında tamamlandı,13,,
1000095,3000 TANK SAHASI,15.01.2016,01:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,TK-3084 tekrarlanan bakım,Olay tamamlandı,,,Gecikmeli tamamlandı,-105,8224,
1000096,901Y RUS KAZANLARI,29.01.2016,01:00:00,Olay,IG,İG-Üretim kayıplı ünite duruşları,,PSV'lerin karıştırılması,Olay tamamlandı,,,Geçersiz,0,,
1000097,300 KEROSİN-DİZEL KÜKÜRT GİDERME ÜNİTESİ,21.02.2016,02:00:00,Olay,IG,İG-Üretim kayıplı ünite duruşları,,T-301 KOLONU ATMOSFER PSV kaçırması,Olay tamamlandı,,,Geçersiz,0,,
1000098,SS-9000A 6 KV DAGITIM İSTASYONU (CCR),4.03.2016,07:53:00,Olay,IG,İG-Üretim kayıplı ünite duruşları,,CCR ELEKTRİK ODASINDA PATLAMA,Olay tamamlandı,,,Geçersiz,0,,
1000099,4800 GSIP (BENZİN SPEKLERİ İYİLEŞTİRME),12.03.2016,13:35:00,Olay,IG,İG-Başarısız test ve kontroller,,PM-4801/A devreden çıktı,Olay tamamlandı,,,Geçersiz,0,,
1000100,PH 2200 BENZİN SATIŞ VE TRANSFER POMPALA,13.03.2016,23:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,MP-2200-3B pompa kısmı yatak sarması,Olay tamamlandı,,,Geçersiz,0,,
1000101,PH 2390 FUELOİL VE DİZEL YAKIT POMPA İS.,15.03.2016,14:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,"MP-2355, MP-2356 mekanik seal kaçağı",Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-25,7949,Seviye 3
1000102,1600 ANA ÜRÜN TANKLARI VE BAĞLANTILARI,15.03.2016,01:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,Exract hattında delinmeler,Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-34,7831,Seviye 3
1000103,1900 ASVALT HAZIRLAMA ÜNİTESİ,22.03.2016,01:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,Ü-1900 sevaj pompa mekaniği arıza sıklığı,Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-73,8011,Seviye 3
1000104,8500 VİSBREAKER ÜNİTESİ,23.03.2016,01:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,U-8500 PSV ön test geçememe,Olay tamamlandı,,,Geçersiz,0,,
1000105,9900 DİZEL KEROSEN KÜKÜRT GİDERME ÜNİTES,18.03.2016,00:00:00,Olay,IG,İG-Yüksek maliyetli bakımlar,,E-9905 C/D Shell geçiş flansında kaçak,Olay tamamlandı,,,Geçersiz,0,,
1000106,100 HAMPETROL ATMOSFERİK DESTİLASYON ÜN.,22.03.2016,16:25:00,Olay,IG,İG-Tekrarlayan ekipman arızaları; İG-Yüksek maliyetli bakımlar,,P-102 yüksek amper çekme ve dumanlama,Olay tamamlandı,,,Geçersiz,0,,
1000107,9900 DİZEL KEROSEN KÜKÜRT GİDERME ÜNİTES,1.03.2016,01:00:00,Olay,IG,İG-Üretim kayıplı ünite duruşları,,PM-9912/A basmıyor,Olay tamamlandı,,,Gecikmeli tamamlandı,-2,8569,
1000108,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,1.03.2016,00:00:00,Olay,IG,İG-Üretim kayıplı ünite duruşları,,T-7201 DPükselmesi kaynaklı şarj düşüşü,Olay tamamlandı,,,Geçersiz,0,,
1000109,3000 TANK SAHASI,4.04.2016,00:00:00,Olay,IG,İG-Ürün kalitesi sorunu; İG-Tekrarlayan ekipman arızaları,,Tankerde F54 ürün bozulması,Olay tamamlandı,,,Zamanında tamamlandı,30,8727,
1000110,8300 H.CRACKER FRAKSİYONLANDIRMA ÜNİTESİ,8.04.2016,14:30:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,T-8302 dip çıkışındaki MOV'da dumanlama,Olay tamamlandı,,,Gecikmeli tamamlandı,-22,8379,
1000111,300 KEROSİN-DİZEL KÜKÜRT GİDERME ÜNİTESİ,14.04.2016,12:30:00,Olay,IG,İG-Yüksek maliyetli bakımlar,,U-300 trafo binasında kablo kokusu,Olay tamamlandı,,,Geçersiz,0,,
1000112,8300 H.CRACKER FRAKSİYONLANDIRMA ÜNİTESİ,5.04.2016,18:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,E-8309 de dumanlama,Olay tamamlandı,,,Geçersiz,0,,
1000113,906 JAPON BUHAR KAZANLARI ÜNİTESİ,26.03.2016,00:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,K5 ekonomizer sık patlaması,Olay tamamlandı,,,Gecikmeli tamamlandı,-46,8068,
1000114,2100 HAVA KOMPRESÖRLERİ,15.04.2016,00:00:00,Olay,IG,İG-Başarısız test ve kontroller,,CT 2106 1 KADEME YÜKSEK SICAKLIK TRİP,Olay tamamlandı,,ZIM_LEVEL_03,Zamanında tamamlandı,30,7955,Seviye 3
1000115,3000 TANK SAHASI,20.04.2016,00:00:00,Olay,IG,İG-Yüksek maliyetli bakımlar,,Tk-3072 temilik sırasında tespit edilen hasarlar,Olay tamamlandı,,,Geçersiz,0,,
1000117,1300 FURFUROL EKTRAKSİYON ÜNİTESİ,24.03.2016,01:00:00,Olay,IG,İG-Başarısız test ve kontroller,,PSV ön test T-1303B,Olay tamamlandı,,ZIM_LEVEL_04,Zamanında tamamlandı,5,,Seviye 4
1000118,1400 MEK.TOL.İLE YAĞI WAKSTAN ARINDIRMA,24.03.2016,01:00:00,Olay,IG,İG-Başarısız test ve kontroller,,PSV ön test geçememe 1400 ünitesi,Olay tamamlandı,,,Geçersiz,0,,
1000119,1500 YAĞIN HİDOJENLE SONLANDIRMA ÜNİTESİ,24.03.2016,01:00:00,Olay,IG,İG-Başarısız test ve kontroller,C-1501 Kompresör  emiş ve çıkış PSV'leri.,PSV ön test geçememe 1500 ünitesi,Olay tamamlandı,,,Geçersiz,0,,
1000161,ATIK SU SİSTEM1,3.05.2016,10:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,ASA 2563 Sahası,İzinsiz çalışma,Olay tamamlandı,,,Geçersiz,0,,
1000164,1600 ANA ÜRÜN TANKLARI VE BAĞLANTILARI,3.05.2016,10:00:00,Güvenlik izleme,Proses emniyeti,"Tertip, düzen",BYK Üniteleri,Telsiz frekanslarının değişmesi.,Olay tamamlandı,,,Geçersiz,0,7350,
1000198,8200 HYDROCRACKER REAKTÖR ÜNİTESİ,4.05.2016,08:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.); Yasal gerekliliğe uygunsuzluk; Yüksekte emniyetsiz çalışma.; Ekipman durumu uygun değil.",E-8202 fan çıkış kollektörüne kurulan iskele,İskele çalışma platformunda güvensiz çalışma ortamı,Olay tamamlandı,,,Geçersiz,0,,
1000209,8500 VİSBREAKER ÜNİTESİ,23.03.2016,21:10:00,Olay,IG,İG-Tekrarlayan ekipman arızaları; İG-Yüksek maliyetli bakımlar,PM-8502/A,PM-8502/A GÖVDESİ ÇIKIŞ BLOK ARIZASI,Olay tamamlandı,,ZIM_LEVEL_04,Gecikmeli tamamlandı,-102,8202,Seviye 4
1000210,"8000 BORD, OF SAYT VE BATERİ LİMİT",4.05.2016,09:00:00,Güvenlik izleme,İSG,Islak/kaygan zemin,,Yağmur sularının oda içine damlaması,Olay tamamlandı,,,Geçersiz,0,,
1000211,"8000 BORD, OF SAYT VE BATERİ LİMİT",4.05.2016,10:00:00,Güvenlik izleme,İSG,"Tertip, düzen; Kimyasallar(Tanımsız,etiketsiz,MKK sız); Yasal gerekliliğe uygunsuzluk",,Mutfak lavabo giderinin açık kanala verilmesi,Olay tamamlandı,,,Geçersiz,0,8171,
1000212,9850 AMİN İŞLEME ÜNİTESİ,18.04.2016,13:30:00,Olay,"PE, IG",PE-Kaçak/döküntü; İG-Tekrarlayan ekipman arızaları,E-9852B/1,E-9852B/1 Soğutucu fan bandıl kaçağı,Olay tamamlandı,,ZIM_LEVEL_03,Zamanında tamamlandı,0,8324,Seviye 3
1000228,DİĞER KISIMLAR,4.05.2016,14:30:00,Güvenlik izleme,İSG,Yüksekte duran emniyetsiz malzemeler,Eski İş Makineleri Garajı / Müteahhit Atölye Binası,Pencerelerin rüzgarla düşmesi,Olay tamamlandı,,,Geçersiz,0,7365,
1000232,907 JAPON KİMYASAL SU ARITMA ÜNİTESİ,4.05.2016,20:30:00,Olay,"ISG, PE",ISG-Küçük müdahale; PE-Kaçak/döküntü,907 NAOH ölçü tanklarının yanı,Kostik Sıçraması,Olay tamamlandı,,ZIM_LEVEL_02,Zamanında tamamlandı,14,7451,Seviye 2
1000235,DİĞER KISIMLAR,5.05.2016,00:00:00,Güvenlik izleme,İSG,Tehlikeli depolanmış malz. ve ekipmanlar,"Eski iş makineleri garajı / müteahhit atölyelerinin karşısında bulunan kükürt depolama sahasının kamyon girişi maksatlı kullanılan duvarsız bölümünden çevreye sürekli kükürt yayıldığı gözlemlendi. Bu sahada rüzgar aracılığıyla çevreye kaçak oluşmasına her an mahal veren böyle bir açıklığın bulunması yakındaki çalışanların sağlığı için potansiyel risk teşkil edebilir (göz yanması, solunması ve olası alerjik etkiler vb. sebebiyle)",Çevreye kükürt saçılması,Olay tamamlandı,,,Geçersiz,0,7550,
1000234,8500 VİSBREAKER ÜNİTESİ,2.05.2016,10:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.)",P-8502 önü rogar,Rogar kapağı yok,Olay tamamlandı,,,Geçersiz,0,,
1000236,8500 VİSBREAKER ÜNİTESİ,2.05.2016,10:10:00,Güvenlik izleme,İSG,Islak/kaygan zemin,P-8512/A OWS Rogarı,OWS Rogarı tıkalı,Olay tamamlandı,,,Geçersiz,0,,
1000237,8500 VİSBREAKER ÜNİTESİ,2.05.2016,10:20:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.)","8500 Unt,A-9 yol köşedeki Yangın hidrantı",Eksik korkuluk,Olay tamamlandı,,,Geçersiz,0,,
1000239,5390 YENİ HAMPETROL İSKELESİ,4.05.2016,23:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,Deniz Dolum  Ünitesi,yeni iskele tahliye kol sıkışması,Olay tamamlandı,,,Geçersiz,0,,
1000240,İNSAN KAYNAKLARI MÜDÜRLÜĞÜ,4.05.2016,19:00:00,Güvenlik izleme,İSG,Kulak koruyucu.,İdari Bina Büroları,GÜRÜLTÜLÜ ORTAMDA ÇALIŞMA,Olay tamamlandı,,,Geçersiz,0,,
1000241,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,5.05.2016,11:00:00,Olay,"PE, IG",PE-Kaçak/döküntü; PE-Yangın/patlama/parlama; İG-Tekrarlayan ekipman arızaları,7000 ham petrol ünitesi,H-7203 fırını 8 nolu börner f. oil akıtarak flash aldı.,Olay tamamlandı,,ZIM_LEVEL_03,Zamanında tamamlandı,12,8172,Seviye 3
1000244,8500 VİSBREAKER ÜNİTESİ,19.04.2016,22:00:00,Olay,"PE, IG",PE-Yangın/patlama/parlama; İG-Tekrarlayan ekipman arızaları,PM-8502A,PM-8502A'da parlama olayı,Olay tamamlandı,,ZIM_LEVEL_03,Geçersiz,0,,Seviye 3
1000253,8200 HYDROCRACKER REAKTÖR ÜNİTESİ,14.01.2016,22:30:00,Olay,"PE, IG",PE-Kaçak/döküntü; İG-Tekrarlayan ekipman arızaları,TK-8002 tankı,TK-8002 serpantin girişi kaynak yerinde kaçak,Olay tamamlandı,,ZIM_LEVEL_03,Zamanında tamamlandı,0,7930,Seviye 3
1000275,3000 TANK SAHASI,24.03.2016,12:00:00,Olay,"PE, IG",PE-Kaçak/döküntü; İG-Tekrarlayan ekipman arızaları,Tk-3083 karşısı,11.nolu Gözetleme kuyusuna HC kaçağı,Olay tamamlandı,,ZIM_LEVEL_02,Gecikmeli tamamlandı,-5,8030,Seviye 2
1000276,3000 TANK SAHASI,24.03.2016,19:00:00,Olay,"IG, PE",İG-Tekrarlayan ekipman arızaları; PE-Kaçak/döküntü,3075 tankı daykının 3099/B tarafında toprakta kirlilik,Jet-A1 kaçağı,Olay tamamlandı,,ZIM_LEVEL_02,Gecikmeli tamamlandı,-28,7833,Seviye 2
1000283,1400 MEK.TOL.İLE YAĞI WAKSTAN ARINDIRMA,9.05.2016,14:00:00,Güvenlik izleme,İSG,"Tertip, düzen",Ü-1400 SS-1400 TRAFO BİNASI ÖNÜ,DÜZENSİZ ÇALIŞMA,Olay tamamlandı,,,Geçersiz,0,,
1000291,5390 YENİ HAMPETROL İSKELESİ,10.05.2016,00:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,YD 4 Nolu kança arızası,Olay tamamlandı,,,Gecikmeli tamamlandı,-105,8548,
1000292,5340 ESKİ HAM PETROL İSKELESİ,10.05.2016,00:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,eski iskele 201 nolu iskele,Dreyn pompa arızası,Olay tamamlandı,,,Gecikmeli tamamlandı,-216,9372,
1000294,BAK.MÜD./İNŞAAT ATÖLYESİ,10.05.2016,09:35:00,Güvenlik izleme,İSG,Uyarıcı işaretler eksik/yok; Prosedürler/standartlar bilinmiyor,Mekabo şantiyesi 1500 ünitesi tarafı,İzinsiz çalışma,Olay tamamlandı,,,Geçersiz,0,,
1000295,BAK.MÜD./METAL ATÖLYESİ,10.05.2016,09:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...); Yüksekte emniyetsiz çalışma.; İzinsiz ekipman kullanımı.; Ekipman durumu uygun değil.",Mekabo şantiyesi yanı,Emniyetsiz durum,Olay tamamlandı,,,Geçersiz,0,,
